"TIME","GEO","WASTE","STK_FLOW","WST_OPER","UNIT","Value"
"2008","Czechia","Plastic packaging","Domestic","Recovery","Tonne","149 777"
"2008","Denmark","Plastic packaging","Domestic","Waste generated","Tonne","164 838"
"2008","Denmark","Plastic packaging","Domestic","Recovery","Tonne","161 151"
"2008","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Waste generated","Tonne","2 732 400"
"2008","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Recovery","Tonne","2 630 545"
"2008","Estonia","Plastic packaging","Domestic","Waste generated","Tonne","71 826"
"2008","Estonia","Plastic packaging","Domestic","Recovery","Tonne","16 182"
"2008","Ireland","Plastic packaging","Domestic","Waste generated","Tonne","248 046"
"2008","Ireland","Plastic packaging","Domestic","Recovery","Tonne","71 781"
"2008","Greece","Plastic packaging","Domestic","Waste generated","Tonne","240 000"
"2008","Greece","Plastic packaging","Domestic","Recovery","Tonne","28 605"
"2008","Spain","Plastic packaging","Domestic","Waste generated","Tonne","1 585 000"
"2008","Spain","Plastic packaging","Domestic","Recovery","Tonne","634 281"
"2008","France","Plastic packaging","Domestic","Waste generated","Tonne","2 046 728"
"2008","France","Plastic packaging","Domestic","Recovery","Tonne","1 167 525"
"2008","Croatia","Plastic packaging","Domestic","Waste generated","Tonne",":"
"2008","Croatia","Plastic packaging","Domestic","Recovery","Tonne",":"
"2008","Italy","Plastic packaging","Domestic","Waste generated","Tonne","2 205 000"
"2008","Italy","Plastic packaging","Domestic","Recovery","Tonne","1 350 000"
"2008","Cyprus","Plastic packaging","Domestic","Waste generated","Tonne","16 602"
"2008","Cyprus","Plastic packaging","Domestic","Recovery","Tonne","2 456"
"2008","Latvia","Plastic packaging","Domestic","Waste generated","Tonne","38 460"
"2008","Latvia","Plastic packaging","Domestic","Recovery","Tonne","11 090"
"2008","Lithuania","Plastic packaging","Domestic","Waste generated","Tonne","63 806"
"2008","Lithuania","Plastic packaging","Domestic","Recovery","Tonne","20 788"
"2008","Luxembourg","Plastic packaging","Domestic","Waste generated","Tonne","21 728"
"2008","Luxembourg","Plastic packaging","Domestic","Recovery","Tonne","19 919"
"2008","Hungary","Plastic packaging","Domestic","Waste generated","Tonne","215 254"
"2008","Hungary","Plastic packaging","Domestic","Recovery","Tonne","91 185"
"2008","Malta","Plastic packaging","Domestic","Waste generated","Tonne","14 452"
"2008","Malta","Plastic packaging","Domestic","Recovery","Tonne","2 017"
"2008","Netherlands","Plastic packaging","Domestic","Waste generated","Tonne","442 000"
"2008","Netherlands","Plastic packaging","Domestic","Recovery","Tonne","422 000"
"2008","Austria","Plastic packaging","Domestic","Waste generated","Tonne","251 569"
"2008","Austria","Plastic packaging","Domestic","Recovery","Tonne","244 760"
"2008","Poland","Plastic packaging","Domestic","Waste generated","Tonne","669 932"
"2008","Poland","Plastic packaging","Domestic","Recovery","Tonne","212 306"
"2008","Portugal","Plastic packaging","Domestic","Waste generated","Tonne","387 872"
"2008","Portugal","Plastic packaging","Domestic","Recovery","Tonne","112 547"
"2008","Romania","Plastic packaging","Domestic","Waste generated","Tonne","332 600"
"2008","Romania","Plastic packaging","Domestic","Recovery","Tonne","68 300"
"2008","Slovenia","Plastic packaging","Domestic","Waste generated","Tonne","47 890"
"2008","Slovenia","Plastic packaging","Domestic","Recovery","Tonne","26 767"
"2008","Slovakia","Plastic packaging","Domestic","Waste generated","Tonne","81 415"
"2008","Slovakia","Plastic packaging","Domestic","Recovery","Tonne","37 653"
"2008","Finland","Plastic packaging","Domestic","Waste generated","Tonne","115 373"
"2008","Finland","Plastic packaging","Domestic","Recovery","Tonne","56 340"
"2008","Sweden","Plastic packaging","Domestic","Waste generated","Tonne","193 150"
"2008","Sweden","Plastic packaging","Domestic","Recovery","Tonne","121 665"
"2008","United Kingdom","Plastic packaging","Domestic","Waste generated","Tonne","2 185 000"
"2008","United Kingdom","Plastic packaging","Domestic","Recovery","Tonne","687 597"
"2008","Iceland","Plastic packaging","Domestic","Waste generated","Tonne",":"
"2008","Iceland","Plastic packaging","Domestic","Recovery","Tonne",":"
"2008","Liechtenstein","Plastic packaging","Domestic","Waste generated","Tonne","670"
"2008","Liechtenstein","Plastic packaging","Domestic","Recovery","Tonne","670"
"2008","Norway","Plastic packaging","Domestic","Waste generated","Tonne","141 018"
"2008","Norway","Plastic packaging","Domestic","Recovery","Tonne","120 182"
"2009","European Union - 28 countries","Plastic packaging","Domestic","Waste generated","Tonne","14 641 000"
"2009","European Union - 28 countries","Plastic packaging","Domestic","Recovery","Tonne","8 739 000"
"2009","Belgium","Plastic packaging","Domestic","Waste generated","Tonne","303 532"
"2009","Belgium","Plastic packaging","Domestic","Recovery","Tonne","265 605"
"2009","Bulgaria","Plastic packaging","Domestic","Waste generated","Tonne","95 457"
"2009","Bulgaria","Plastic packaging","Domestic","Recovery","Tonne","28 596"
"2009","Czechia","Plastic packaging","Domestic","Waste generated","Tonne","208 815"
"2009","Czechia","Plastic packaging","Domestic","Recovery","Tonne","148 156"
"2009","Denmark","Plastic packaging","Domestic","Waste generated","Tonne","165 449"
"2009","Denmark","Plastic packaging","Domestic","Recovery","Tonne","161 796"
"2009","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Waste generated","Tonne","2 620 800"
"2009","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Recovery","Tonne","2 536 290"
"2009","Estonia","Plastic packaging","Domestic","Waste generated","Tonne","52 603"
"2009","Estonia","Plastic packaging","Domestic","Recovery","Tonne","14 466"
"2009","Ireland","Plastic packaging","Domestic","Waste generated","Tonne","224 350"
"2009","Ireland","Plastic packaging","Domestic","Recovery","Tonne","81 175"
"2009","Greece","Plastic packaging","Domestic","Waste generated","Tonne","237 000"
"2009","Greece","Plastic packaging","Domestic","Recovery","Tonne","63 200"
"2009","Spain","Plastic packaging","Domestic","Waste generated","Tonne","1 442 916"
"2009","Spain","Plastic packaging","Domestic","Recovery","Tonne","631 103"
"2009","France","Plastic packaging","Domestic","Waste generated","Tonne","1 877 058"
"2009","France","Plastic packaging","Domestic","Recovery","Tonne","1 090 940"
"2009","Croatia","Plastic packaging","Domestic","Waste generated","Tonne",":"
"2009","Croatia","Plastic packaging","Domestic","Recovery","Tonne",":"
"2009","Italy","Plastic packaging","Domestic","Waste generated","Tonne","2 092 000"
"2009","Italy","Plastic packaging","Domestic","Recovery","Tonne","1 394 000"
"2009","Cyprus","Plastic packaging","Domestic","Waste generated","Tonne","15 744"
"2009","Cyprus","Plastic packaging","Domestic","Recovery","Tonne","2 858"
"2009","Latvia","Plastic packaging","Domestic","Waste generated","Tonne","31 254"
"2009","Latvia","Plastic packaging","Domestic","Recovery","Tonne","10 223"
"2009","Lithuania","Plastic packaging","Domestic","Waste generated","Tonne","54 141"
"2009","Lithuania","Plastic packaging","Domestic","Recovery","Tonne","19 458"
"2009","Luxembourg","Plastic packaging","Domestic","Waste generated","Tonne","20 688"
"2009","Luxembourg","Plastic packaging","Domestic","Recovery","Tonne","17 790"
"2009","Hungary","Plastic packaging","Domestic","Waste generated","Tonne","229 376"
"2009","Hungary","Plastic packaging","Domestic","Recovery","Tonne","91 140"
"2009","Malta","Plastic packaging","Domestic","Waste generated","Tonne","13 299"
"2009","Malta","Plastic packaging","Domestic","Recovery","Tonne","6 929"
"2009","Netherlands","Plastic packaging","Domestic","Waste generated","Tonne","427 500"
"2009","Netherlands","Plastic packaging","Domestic","Recovery","Tonne","424 070"
"2009","Austria","Plastic packaging","Domestic","Waste generated","Tonne","255 811"
"2009","Austria","Plastic packaging","Domestic","Recovery","Tonne","247 939"
"2009","Poland","Plastic packaging","Domestic","Waste generated","Tonne","666 406"
"2009","Poland","Plastic packaging","Domestic","Recovery","Tonne","261 179"
"2009","Portugal","Plastic packaging","Domestic","Waste generated","Tonne","378 068"
"2009","Portugal","Plastic packaging","Domestic","Recovery","Tonne","136 851"
"2009","Romania","Plastic packaging","Domestic","Waste generated","Tonne","293 800"
"2009","Romania","Plastic packaging","Domestic","Recovery","Tonne","83 800"
"2009","Slovenia","Plastic packaging","Domestic","Waste generated","Tonne","46 603"
"2009","Slovenia","Plastic packaging","Domestic","Recovery","Tonne","19 683"
"2009","Slovakia","Plastic packaging","Domestic","Waste generated","Tonne","91 389"
"2009","Slovakia","Plastic packaging","Domestic","Recovery","Tonne","46 938"
"2009","Finland","Plastic packaging","Domestic","Waste generated","Tonne","112 341"
"2009","Finland","Plastic packaging","Domestic","Recovery","Tonne","50 848"
"2009","Sweden","Plastic packaging","Domestic","Waste generated","Tonne","191 618"
"2009","Sweden","Plastic packaging","Domestic","Recovery","Tonne","79 542"
"2009","United Kingdom","Plastic packaging","Domestic","Waste generated","Tonne","2 442 000"
"2009","United Kingdom","Plastic packaging","Domestic","Recovery","Tonne","802 953"
"2009","Iceland","Plastic packaging","Domestic","Waste generated","Tonne",":"
"2009","Iceland","Plastic packaging","Domestic","Recovery","Tonne",":"
"2009","Liechtenstein","Plastic packaging","Domestic","Waste generated","Tonne","670"
"2009","Liechtenstein","Plastic packaging","Domestic","Recovery","Tonne","670"
"2009","Norway","Plastic packaging","Domestic","Waste generated","Tonne","147 348"
"2009","Norway","Plastic packaging","Domestic","Recovery","Tonne","116 904"
"2010","European Union - 28 countries","Plastic packaging","Domestic","Waste generated","Tonne","14 834 000"
"2010","European Union - 28 countries","Plastic packaging","Domestic","Recovery","Tonne","9 246 000"
"2010","Belgium","Plastic packaging","Domestic","Waste generated","Tonne","315 505"
"2010","Belgium","Plastic packaging","Domestic","Recovery","Tonne","277 080"
"2010","Bulgaria","Plastic packaging","Domestic","Waste generated","Tonne","81 978"
"2010","Bulgaria","Plastic packaging","Domestic","Recovery","Tonne","34 111"
"2010","Czechia","Plastic packaging","Domestic","Waste generated","Tonne","209 550"
"2010","Czechia","Plastic packaging","Domestic","Recovery","Tonne","160 709"
"2010","Denmark","Plastic packaging","Domestic","Waste generated","Tonne","165 449"
"2010","Denmark","Plastic packaging","Domestic","Recovery","Tonne","161 796"
"2010","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Waste generated","Tonne","2 690 100"
"2010","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Recovery","Tonne","2 614 811"
"2010","Estonia","Plastic packaging","Domestic","Waste generated","Tonne","50 884"
"2010","Estonia","Plastic packaging","Domestic","Recovery","Tonne","21 686"
"2010","Ireland","Plastic packaging","Domestic","Waste generated","Tonne","187 617"
"2010","Ireland","Plastic packaging","Domestic","Recovery","Tonne","73 849"
"2010","Greece","Plastic packaging","Domestic","Waste generated","Tonne","221 500"
"2010","Greece","Plastic packaging","Domestic","Recovery","Tonne","66 730"
"2010","Spain","Plastic packaging","Domestic","Waste generated","Tonne","1 397 689"
"2010","Spain","Plastic packaging","Domestic","Recovery","Tonne","713 525"
"2010","France","Plastic packaging","Domestic","Waste generated","Tonne","2 001 571"
"2010","France","Plastic packaging","Domestic","Recovery","Tonne","1 224 244"
"2010","Croatia","Plastic packaging","Domestic","Waste generated","Tonne",":"
"2010","Croatia","Plastic packaging","Domestic","Recovery","Tonne",":"
"2010","Italy","Plastic packaging","Domestic","Waste generated","Tonne","2 071 000"
"2010","Italy","Plastic packaging","Domestic","Recovery","Tonne","1 459 000"
"2010","Cyprus","Plastic packaging","Domestic","Waste generated","Tonne","15 786"
"2010","Cyprus","Plastic packaging","Domestic","Recovery","Tonne","4 307"
"2010","Latvia","Plastic packaging","Domestic","Waste generated","Tonne","35 192"
"2010","Latvia","Plastic packaging","Domestic","Recovery","Tonne","12 111"
"2010","Lithuania","Plastic packaging","Domestic","Waste generated","Tonne","56 522"
"2010","Lithuania","Plastic packaging","Domestic","Recovery","Tonne","21 689"
"2010","Luxembourg","Plastic packaging","Domestic","Waste generated","Tonne","22 288"
"2010","Luxembourg","Plastic packaging","Domestic","Recovery","Tonne","18 497"
"2010","Hungary","Plastic packaging","Domestic","Waste generated","Tonne","210 920"
"2010","Hungary","Plastic packaging","Domestic","Recovery","Tonne","94 491"
"2010","Malta","Plastic packaging","Domestic","Waste generated","Tonne","12 160"
"2010","Malta","Plastic packaging","Domestic","Recovery","Tonne","2 731"
"2010","Netherlands","Plastic packaging","Domestic","Waste generated","Tonne","454 000"
"2010","Netherlands","Plastic packaging","Domestic","Recovery","Tonne","447 640"
"2010","Austria","Plastic packaging","Domestic","Waste generated","Tonne","264 517"
"2010","Austria","Plastic packaging","Domestic","Recovery","Tonne","264 517"
"2010","Poland","Plastic packaging","Domestic","Waste generated","Tonne","733 114"
"2010","Poland","Plastic packaging","Domestic","Recovery","Tonne","215 039"
"2010","Portugal","Plastic packaging","Domestic","Waste generated","Tonne","360 918"
"2010","Portugal","Plastic packaging","Domestic","Recovery","Tonne","133 056"
"2010","Romania","Plastic packaging","Domestic","Waste generated","Tonne","281 145"
"2010","Romania","Plastic packaging","Domestic","Recovery","Tonne","86 945"
"2010","Slovenia","Plastic packaging","Domestic","Waste generated","Tonne","45 268"
"2010","Slovenia","Plastic packaging","Domestic","Recovery","Tonne","32 024"
"2010","Slovakia","Plastic packaging","Domestic","Waste generated","Tonne","105 779"
"2010","Slovakia","Plastic packaging","Domestic","Recovery","Tonne","48 668"
"2010","Finland","Plastic packaging","Domestic","Waste generated","Tonne","116 244"
"2010","Finland","Plastic packaging","Domestic","Recovery","Tonne","52 509"
"2010","Sweden","Plastic packaging","Domestic","Waste generated","Tonne","198 446"
"2010","Sweden","Plastic packaging","Domestic","Recovery","Tonne","95 623"
"2010","United Kingdom","Plastic packaging","Domestic","Waste generated","Tonne","2 478 630"
"2010","United Kingdom","Plastic packaging","Domestic","Recovery","Tonne","886 854"
"2010","Iceland","Plastic packaging","Domestic","Waste generated","Tonne","11 430"
"2010","Iceland","Plastic packaging","Domestic","Recovery","Tonne","4 349"
"2010","Liechtenstein","Plastic packaging","Domestic","Waste generated","Tonne","682"
"2010","Liechtenstein","Plastic packaging","Domestic","Recovery","Tonne","682"
"2010","Norway","Plastic packaging","Domestic","Waste generated","Tonne","146 569"
"2010","Norway","Plastic packaging","Domestic","Recovery","Tonne","129 627"
"2011","European Union - 28 countries","Plastic packaging","Domestic","Waste generated","Tonne","14 995 000"
"2011","European Union - 28 countries","Plastic packaging","Domestic","Recovery","Tonne","9 500 000"
"2011","Belgium","Plastic packaging","Domestic","Waste generated","Tonne","315 961"
"2011","Belgium","Plastic packaging","Domestic","Recovery","Tonne","291 755"
"2011","Bulgaria","Plastic packaging","Domestic","Waste generated","Tonne","94 963"
"2011","Bulgaria","Plastic packaging","Domestic","Recovery","Tonne","37 818"
"2011","Czechia","Plastic packaging","Domestic","Waste generated","Tonne","209 414"
"2011","Czechia","Plastic packaging","Domestic","Recovery","Tonne","148 025"
"2011","Denmark","Plastic packaging","Domestic","Waste generated","Tonne","188 261"
"2011","Denmark","Plastic packaging","Domestic","Recovery","Tonne","183 872"
"2011","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Waste generated","Tonne","2 775 800"
"2011","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Recovery","Tonne","2 761 983"
"2011","Estonia","Plastic packaging","Domestic","Waste generated","Tonne","52 006"
